
eof,dsasa,qwq,assa,123,321,12,1,4,,0
eof,def,ghi,jkl,123,321,143,2,4,,0
eof,sdss,asasd,sasa,123,321,143,4,2,,1
poi,qwe,rty,fhj,123,321,3,4,6,,0
a,b,c,d,1,2,3,4,6,8,0
a,b,c,d,1,2,3,4,4,5,0
a,b,c,d,1,2,3,4,4,5,0
a,b,c,d,1,2,3,4,5,6,0
a,b,c,d,1,2,3,4,5,6,0
a,b,c,d,1,2,3,4,5,6,0
a,b,c,d,1,2,3,4,5,6,0
a,b,c,d,1,2,3,4,5,6,0
a,v,c,d,1,2,3,4,5,6,0
a,v,c,d,1,2,3,4,5,6,0
a,b,c,d,1,2,3,4,5,6,0
a,hi,n,j,12,21,21,21,2,123,1
a,b,c,d,1,2,3,4,5,6,0
a,b,c,d,1,2,3,4,5,6,0
a,b,c,d,1,2,3,4,5,6,0
a,b,c,d,1,2,3,4,5,6,0
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
